顧客ID,性別コード,年齢層,お仕事,お住まい,家族構成,趣味・関心事,最近の悩み,顧客プロフィール,会員ランク,年間購入額
917d2001,女,34,事務職,北海道,既婚子あり（1人）,音楽、ゲーム,人間関係,北海道在住34歳女性。事務職として働く。趣味は音楽、ゲーム。,ゴールド,328273
7ca27376,男,51,教員,愛知県,既婚子なし,スポーツ、写真,子供の教育,愛知県在住51歳男性。教員として働く。趣味はスポーツ、写真。,シルバー,168729
a02a2e35,女,49,販売スタッフ,北海道,独身,カフェ巡り、DIY,転職,北海道在住49歳女性。販売スタッフとして働く。趣味はカフェ巡り、DIY。,ブロンズ,433296
4b55ed4d,男,53,事務職,広島県,既婚子あり（2人以上）,読書、映画鑑賞、DIY,人間関係,広島県在住53歳男性。事務職として働く。趣味は読書、映画鑑賞、DIY。,一般,281209
657d331a,女,29,学生,愛知県,既婚子なし,料理、映画鑑賞,キャリアアップ,愛知県在住29歳女性。学生として働く。趣味は料理、映画鑑賞。,シルバー,48503
f1557b36,女,21,営業職,広島県,既婚子あり（1人）,映画鑑賞、ショッピング、料理、音楽,住宅ローン,広島県在住21歳女性。営業職として働く。趣味は映画鑑賞、ショッピング、料理、音楽。,シルバー,169480
b4909e10,男,38,教員,宮城県,既婚子なし,映画鑑賞、アウトドア、ゲーム、旅行,スキルアップ,宮城県在住38歳男性。教員として働く。趣味は映画鑑賞、アウトドア、ゲーム、旅行。,シルバー,227206
bd4aea6d,男,52,教員,広島県,既婚子あり（2人以上）,料理、音楽、読書、カフェ巡り,健康管理,広島県在住52歳男性。教員として働く。趣味は料理、音楽、読書、カフェ巡り。,ブロンズ,82992
5f9114a8,女,66,事務職,愛知県,独身,ゲーム、写真、DIY,健康管理,愛知県在住66歳女性。事務職として働く。趣味はゲーム、写真、DIY。,一般,283087
a533d5b8,女,38,フリーランス,福岡県,既婚子あり（2人以上）,読書、写真,老後の資金,福岡県在住38歳女性。フリーランスとして働く。趣味は読書、写真。,ブロンズ,395947
8f55247c,男,69,教員,福岡県,既婚子あり（2人以上）,音楽、旅行,スキルアップ,福岡県在住69歳男性。教員として働く。趣味は音楽、旅行。,シルバー,456356
776c7c04,男,30,事務職,宮城県,独身,旅行、料理,スキルアップ,宮城県在住30歳男性。事務職として働く。趣味は旅行、料理。,一般,115288
914d131b,女,23,営業職,愛知県,独身,アウトドア、読書、旅行,健康管理,愛知県在住23歳女性。営業職として働く。趣味はアウトドア、読書、旅行。,ブロンズ,240411
1c5a0050,男,35,販売スタッフ,広島県,既婚子あり（1人）,旅行、読書、ガーデニング、映画鑑賞,住宅ローン,広島県在住35歳男性。販売スタッフとして働く。趣味は旅行、読書、ガーデニング、映画鑑賞。,ブロンズ,360829
970001f9,女,42,販売スタッフ,東京都,独身,読書、ショッピング、料理、スポーツ,キャリアアップ,東京都在住42歳女性。販売スタッフとして働く。趣味は読書、ショッピング、料理、スポーツ。,シルバー,302204
1ec213ef,男,58,教員,埼玉県,既婚子あり（1人）,写真、ゲーム、アウトドア,子供の教育,埼玉県在住58歳男性。教員として働く。趣味は写真、ゲーム、アウトドア。,一般,469701
6e64d3d6,男,58,管理職,宮城県,既婚子あり（1人）,映画鑑賞、ゲーム、写真、ショッピング,住宅ローン,宮城県在住58歳男性。管理職として働く。趣味は映画鑑賞、ゲーム、写真、ショッピング。,ゴールド,208454
049f0696,男,59,フリーランス,神奈川県,独身,DIY、アウトドア、写真、料理,人間関係,神奈川県在住59歳男性。フリーランスとして働く。趣味はDIY、アウトドア、写真、料理。,ゴールド,110495
5ca8fbc0,男,66,フリーランス,広島県,既婚子あり（2人以上）,ガーデニング、写真、アウトドア,子供の教育,広島県在住66歳男性。フリーランスとして働く。趣味はガーデニング、写真、アウトドア。,一般,24006
6c2159c5,女,66,営業職,愛知県,既婚子なし,旅行、読書、ショッピング,副業,愛知県在住66歳女性。営業職として働く。趣味は旅行、読書、ショッピング。,ゴールド,151793
7cfa258e,男,24,フリーランス,東京都,既婚子あり（1人）,旅行、スポーツ、音楽,老後の資金,東京都在住24歳男性。フリーランスとして働く。趣味は旅行、スポーツ、音楽。,ブロンズ,282325
abf31d9c,男,62,主婦,大阪府,既婚子あり（1人）,ショッピング、ガーデニング、アウトドア,住宅ローン,大阪府在住62歳男性。主婦として働く。趣味はショッピング、ガーデニング、アウトドア。,一般,133195
3bab602a,男,25,事務職,千葉県,独身,音楽、ゲーム、ガーデニング,子供の教育,千葉県在住25歳男性。事務職として働く。趣味は音楽、ゲーム、ガーデニング。,シルバー,213117
58315816,男,46,販売スタッフ,福岡県,独身,旅行、読書、ショッピング,転職,福岡県在住46歳男性。販売スタッフとして働く。趣味は旅行、読書、ショッピング。,ブロンズ,230883
e21e86c7,男,69,パート,北海道,独身,読書、DIY,人間関係,北海道在住69歳男性。パートとして働く。趣味は読書、DIY。,ブロンズ,308017
6fae74ec,男,60,教員,埼玉県,既婚子なし,スポーツ、DIY、写真,ワークライフバランス,埼玉県在住60歳男性。教員として働く。趣味はスポーツ、DIY、写真。,ゴールド,358956
e8eeb8d8,男,39,管理職,福岡県,既婚子あり（2人以上）,カフェ巡り、映画鑑賞,人間関係,福岡県在住39歳男性。管理職として働く。趣味はカフェ巡り、映画鑑賞。,ゴールド,464086
bfffcb3e,男,30,教員,東京都,既婚子なし,カフェ巡り、DIY,キャリアアップ,東京都在住30歳男性。教員として働く。趣味はカフェ巡り、DIY。,一般,308500
3aecc716,女,65,主婦,宮城県,独身,読書、カフェ巡り,健康管理,宮城県在住65歳女性。主婦として働く。趣味は読書、カフェ巡り。,ブロンズ,377686
28dc18dd,男,33,教員,東京都,既婚子なし,写真、読書、映画鑑賞、音楽,スキルアップ,東京都在住33歳男性。教員として働く。趣味は写真、読書、映画鑑賞、音楽。,一般,184985
bc905a89,男,61,教員,広島県,既婚子あり（2人以上）,ガーデニング、読書、アウトドア、映画鑑賞,キャリアアップ,広島県在住61歳男性。教員として働く。趣味はガーデニング、読書、アウトドア、映画鑑賞。,シルバー,354202
ae7824a3,男,65,教員,千葉県,既婚子あり（1人）,写真、音楽、スポーツ,住宅ローン,千葉県在住65歳男性。教員として働く。趣味は写真、音楽、スポーツ。,一般,452807
b2d617e5,男,54,主婦,埼玉県,独身,DIY、ショッピング,子供の教育,埼玉県在住54歳男性。主婦として働く。趣味はDIY、ショッピング。,ゴールド,248051
d2cc8a60,男,60,主婦,神奈川県,独身,スポーツ、カフェ巡り、ゲーム,住宅ローン,神奈川県在住60歳男性。主婦として働く。趣味はスポーツ、カフェ巡り、ゲーム。,ブロンズ,114166
c5c29e28,男,22,フリーランス,東京都,独身,ショッピング、ゲーム、音楽,子供の教育,東京都在住22歳男性。フリーランスとして働く。趣味はショッピング、ゲーム、音楽。,ゴールド,354618
99a0e53c,男,34,医療従事者,広島県,既婚子なし,ガーデニング、アウトドア、読書、カフェ巡り,転職,広島県在住34歳男性。医療従事者として働く。趣味はガーデニング、アウトドア、読書、カフェ巡り。,シルバー,471164
d13adba1,女,41,フリーランス,千葉県,既婚子あり（2人以上）,スポーツ、ゲーム、ガーデニング、カフェ巡り,子供の教育,千葉県在住41歳女性。フリーランスとして働く。趣味はスポーツ、ゲーム、ガーデニング、カフェ巡り。,シルバー,63537
885b7954,男,64,主婦,愛知県,既婚子あり（1人）,旅行、ショッピング,子供の教育,愛知県在住64歳男性。主婦として働く。趣味は旅行、ショッピング。,一般,400255
8344d3b8,男,69,主婦,福岡県,既婚子なし,写真、ガーデニング、映画鑑賞,スキルアップ,福岡県在住69歳男性。主婦として働く。趣味は写真、ガーデニング、映画鑑賞。,シルバー,155065
9644a8f7,女,63,主婦,神奈川県,既婚子なし,音楽、アウトドア,スキルアップ,神奈川県在住63歳女性。主婦として働く。趣味は音楽、アウトドア。,一般,177027
8e0e1e92,男,60,パート,広島県,独身,カフェ巡り、ショッピング、映画鑑賞,老後の資金,広島県在住60歳男性。パートとして働く。趣味はカフェ巡り、ショッピング、映画鑑賞。,ゴールド,384180
28f2a4e5,女,43,フリーランス,福岡県,既婚子あり（2人以上）,ショッピング、DIY、ゲーム、料理,健康管理,福岡県在住43歳女性。フリーランスとして働く。趣味はショッピング、DIY、ゲーム、料理。,シルバー,76411
56b5ee8e,女,32,教員,神奈川県,既婚子あり（2人以上）,映画鑑賞、ゲーム、ガーデニング、旅行,住宅ローン,神奈川県在住32歳女性。教員として働く。趣味は映画鑑賞、ゲーム、ガーデニング、旅行。,ブロンズ,295418
eea5af5f,女,63,事務職,宮城県,既婚子なし,読書、写真,子供の教育,宮城県在住63歳女性。事務職として働く。趣味は読書、写真。,ゴールド,324544
66700453,女,52,パート,広島県,既婚子あり（2人以上）,ショッピング、料理,子供の教育,広島県在住52歳女性。パートとして働く。趣味はショッピング、料理。,ブロンズ,130001
01f4c138,女,64,パート,神奈川県,独身,読書、ゲーム、写真,人間関係,神奈川県在住64歳女性。パートとして働く。趣味は読書、ゲーム、写真。,ゴールド,112738
2465df99,女,25,事務職,宮城県,既婚子なし,読書、ショッピング,人間関係,宮城県在住25歳女性。事務職として働く。趣味は読書、ショッピング。,一般,497112
eb4b25da,女,48,営業職,広島県,独身,スポーツ、写真,人間関係,広島県在住48歳女性。営業職として働く。趣味はスポーツ、写真。,一般,446840
2c4052bf,女,43,フリーランス,大阪府,既婚子あり（1人）,旅行、読書、映画鑑賞、カフェ巡り,人間関係,大阪府在住43歳女性。フリーランスとして働く。趣味は旅行、読書、映画鑑賞、カフェ巡り。,ブロンズ,27285
4f6e9f12,男,38,フリーランス,北海道,既婚子なし,DIY、カフェ巡り、ゲーム,キャリアアップ,北海道在住38歳男性。フリーランスとして働く。趣味はDIY、カフェ巡り、ゲーム。,ゴールド,332769
84a7993f,女,29,販売スタッフ,宮城県,既婚子なし,カフェ巡り、写真、料理、スポーツ,子供の教育,宮城県在住29歳女性。販売スタッフとして働く。趣味はカフェ巡り、写真、料理、スポーツ。,シルバー,253033
1ff0c04c,女,41,学生,神奈川県,既婚子あり（2人以上）,音楽、アウトドア、スポーツ,老後の資金,神奈川県在住41歳女性。学生として働く。趣味は音楽、アウトドア、スポーツ。,一般,464216
452d3cc1,女,26,医療従事者,宮城県,既婚子あり（2人以上）,DIY、ショッピング、写真、旅行,キャリアアップ,宮城県在住26歳女性。医療従事者として働く。趣味はDIY、ショッピング、写真、旅行。,ゴールド,94416
ce6a0398,女,52,学生,千葉県,既婚子あり（1人）,料理、スポーツ、旅行、写真,キャリアアップ,千葉県在住52歳女性。学生として働く。趣味は料理、スポーツ、旅行、写真。,一般,433625
c01ff94d,男,57,パート,埼玉県,独身,カフェ巡り、アウトドア、ガーデニング,子供の教育,埼玉県在住57歳男性。パートとして働く。趣味はカフェ巡り、アウトドア、ガーデニング。,シルバー,190507
d9519176,男,28,管理職,広島県,既婚子なし,カフェ巡り、スポーツ,副業,広島県在住28歳男性。管理職として働く。趣味はカフェ巡り、スポーツ。,シルバー,331522
75b65c36,男,38,販売スタッフ,千葉県,独身,ショッピング、料理、DIY,スキルアップ,千葉県在住38歳男性。販売スタッフとして働く。趣味はショッピング、料理、DIY。,ゴールド,104847
125d5897,男,69,フリーランス,千葉県,既婚子なし,映画鑑賞、読書、料理,健康管理,千葉県在住69歳男性。フリーランスとして働く。趣味は映画鑑賞、読書、料理。,ブロンズ,122997
41e3eccc,男,31,学生,広島県,既婚子なし,写真、ショッピング,健康管理,広島県在住31歳男性。学生として働く。趣味は写真、ショッピング。,シルバー,353127
04c13e1b,男,46,ITエンジニア,福岡県,既婚子あり（1人）,カフェ巡り、旅行,副業,福岡県在住46歳男性。ITエンジニアとして働く。趣味はカフェ巡り、旅行。,ブロンズ,396872
2d98eb56,女,21,医療従事者,神奈川県,既婚子あり（1人）,音楽、アウトドア、DIY,子供の教育,神奈川県在住21歳女性。医療従事者として働く。趣味は音楽、アウトドア、DIY。,シルバー,110894
a71cbe23,男,39,教員,神奈川県,既婚子なし,DIY、アウトドア、料理、旅行,転職,神奈川県在住39歳男性。教員として働く。趣味はDIY、アウトドア、料理、旅行。,シルバー,131840
1b69cd64,女,67,事務職,大阪府,既婚子あり（1人）,旅行、アウトドア、映画鑑賞、カフェ巡り,人間関係,大阪府在住67歳女性。事務職として働く。趣味は旅行、アウトドア、映画鑑賞、カフェ巡り。,シルバー,299676
78bf0a94,男,59,パート,大阪府,既婚子あり（1人）,写真、スポーツ、アウトドア,キャリアアップ,大阪府在住59歳男性。パートとして働く。趣味は写真、スポーツ、アウトドア。,シルバー,333659
ee29cb2d,男,32,営業職,大阪府,既婚子あり（2人以上）,スポーツ、カフェ巡り、読書、旅行,スキルアップ,大阪府在住32歳男性。営業職として働く。趣味はスポーツ、カフェ巡り、読書、旅行。,ブロンズ,274637
bdf17186,男,47,主婦,北海道,独身,ガーデニング、映画鑑賞、旅行,住宅ローン,北海道在住47歳男性。主婦として働く。趣味はガーデニング、映画鑑賞、旅行。,ブロンズ,76715
633ffc46,女,67,学生,北海道,独身,カフェ巡り、ショッピング、ゲーム、ガーデニング,老後の資金,北海道在住67歳女性。学生として働く。趣味はカフェ巡り、ショッピング、ゲーム、ガーデニング。,シルバー,197911
96be4909,女,37,医療従事者,埼玉県,独身,映画鑑賞、ガーデニング,ワークライフバランス,埼玉県在住37歳女性。医療従事者として働く。趣味は映画鑑賞、ガーデニング。,ブロンズ,447193
db2fc928,女,48,パート,愛知県,既婚子なし,旅行、ガーデニング,ワークライフバランス,愛知県在住48歳女性。パートとして働く。趣味は旅行、ガーデニング。,シルバー,388078
6bd5d69c,女,68,ITエンジニア,埼玉県,既婚子なし,ショッピング、音楽、ゲーム、アウトドア,子供の教育,埼玉県在住68歳女性。ITエンジニアとして働く。趣味はショッピング、音楽、ゲーム、アウトドア。,ブロンズ,310437
29a383a5,女,69,パート,埼玉県,既婚子あり（2人以上）,ガーデニング、映画鑑賞、料理、カフェ巡り,キャリアアップ,埼玉県在住69歳女性。パートとして働く。趣味はガーデニング、映画鑑賞、料理、カフェ巡り。,シルバー,91141
a72677fe,女,48,医療従事者,宮城県,独身,カフェ巡り、ゲーム、ショッピング、映画鑑賞,キャリアアップ,宮城県在住48歳女性。医療従事者として働く。趣味はカフェ巡り、ゲーム、ショッピング、映画鑑賞。,ゴールド,146063
3a5d903b,男,37,ITエンジニア,神奈川県,既婚子なし,ショッピング、ガーデニング、旅行、料理,転職,神奈川県在住37歳男性。ITエンジニアとして働く。趣味はショッピング、ガーデニング、旅行、料理。,シルバー,100742
8dd81ffe,女,45,主婦,神奈川県,独身,DIY、音楽、スポーツ,ワークライフバランス,神奈川県在住45歳女性。主婦として働く。趣味はDIY、音楽、スポーツ。,シルバー,49353
90f4a810,男,67,学生,北海道,独身,旅行、音楽、スポーツ,スキルアップ,北海道在住67歳男性。学生として働く。趣味は旅行、音楽、スポーツ。,一般,334609
6b9aa704,男,23,販売スタッフ,愛知県,既婚子あり（2人以上）,料理、読書、写真,スキルアップ,愛知県在住23歳男性。販売スタッフとして働く。趣味は料理、読書、写真。,ゴールド,486846
3f41bd68,女,28,販売スタッフ,福岡県,独身,読書、ショッピング、写真、ガーデニング,転職,福岡県在住28歳女性。販売スタッフとして働く。趣味は読書、ショッピング、写真、ガーデニング。,一般,291819
795dae6d,女,38,教員,福岡県,既婚子あり（1人）,ショッピング、ガーデニング、アウトドア,キャリアアップ,福岡県在住38歳女性。教員として働く。趣味はショッピング、ガーデニング、アウトドア。,シルバー,443345
c006900e,男,22,教員,埼玉県,既婚子なし,スポーツ、ショッピング、カフェ巡り、アウトドア,子供の教育,埼玉県在住22歳男性。教員として働く。趣味はスポーツ、ショッピング、カフェ巡り、アウトドア。,一般,178164
3e38b433,男,35,ITエンジニア,大阪府,既婚子あり（1人）,料理、ゲーム、読書、DIY,スキルアップ,大阪府在住35歳男性。ITエンジニアとして働く。趣味は料理、ゲーム、読書、DIY。,ゴールド,383507
97188d3d,男,43,医療従事者,千葉県,独身,DIY、音楽、ゲーム、読書,子供の教育,千葉県在住43歳男性。医療従事者として働く。趣味はDIY、音楽、ゲーム、読書。,シルバー,441769
84d543ef,女,61,パート,福岡県,既婚子あり（2人以上）,ガーデニング、スポーツ、料理、DIY,ワークライフバランス,福岡県在住61歳女性。パートとして働く。趣味はガーデニング、スポーツ、料理、DIY。,ブロンズ,493679
75461a31,女,57,教員,北海道,既婚子あり（2人以上）,写真、DIY、ゲーム,子供の教育,北海道在住57歳女性。教員として働く。趣味は写真、DIY、ゲーム。,一般,270606
2b137c24,男,61,ITエンジニア,愛知県,既婚子あり（2人以上）,映画鑑賞、ガーデニング、ゲーム、音楽,スキルアップ,愛知県在住61歳男性。ITエンジニアとして働く。趣味は映画鑑賞、ガーデニング、ゲーム、音楽。,シルバー,119676
829f1cb4,女,21,販売スタッフ,福岡県,既婚子なし,旅行、スポーツ、料理、音楽,子供の教育,福岡県在住21歳女性。販売スタッフとして働く。趣味は旅行、スポーツ、料理、音楽。,一般,208456
380a15e8,男,20,事務職,千葉県,既婚子なし,旅行、料理、映画鑑賞、カフェ巡り,ワークライフバランス,千葉県在住20歳男性。事務職として働く。趣味は旅行、料理、映画鑑賞、カフェ巡り。,ブロンズ,116835
d412bbb4,女,45,主婦,大阪府,既婚子あり（1人）,ショッピング、音楽、旅行、DIY,人間関係,大阪府在住45歳女性。主婦として働く。趣味はショッピング、音楽、旅行、DIY。,シルバー,181594
ab136536,男,42,主婦,千葉県,独身,ショッピング、音楽,ワークライフバランス,千葉県在住42歳男性。主婦として働く。趣味はショッピング、音楽。,一般,419857
914d6035,男,21,学生,東京都,独身,読書、旅行、ショッピング,子供の教育,東京都在住21歳男性。学生として働く。趣味は読書、旅行、ショッピング。,ブロンズ,349431
468254f5,男,36,販売スタッフ,福岡県,既婚子なし,映画鑑賞、ショッピング、読書,転職,福岡県在住36歳男性。販売スタッフとして働く。趣味は映画鑑賞、ショッピング、読書。,シルバー,260092
2a44d869,女,55,ITエンジニア,愛知県,既婚子あり（2人以上）,カフェ巡り、DIY、ガーデニング、アウトドア,キャリアアップ,愛知県在住55歳女性。ITエンジニアとして働く。趣味はカフェ巡り、DIY、ガーデニング、アウトドア。,ゴールド,231682
9cc95079,男,49,事務職,宮城県,独身,カフェ巡り、DIY,転職,宮城県在住49歳男性。事務職として働く。趣味はカフェ巡り、DIY。,シルバー,440426
020b939b,男,35,販売スタッフ,福岡県,既婚子なし,スポーツ、DIY,住宅ローン,福岡県在住35歳男性。販売スタッフとして働く。趣味はスポーツ、DIY。,ゴールド,136963
eac68744,男,20,教員,北海道,既婚子あり（1人）,読書、料理、写真,住宅ローン,北海道在住20歳男性。教員として働く。趣味は読書、料理、写真。,ゴールド,431317
3178ec12,男,64,管理職,大阪府,既婚子あり（2人以上）,ゲーム、ショッピング,スキルアップ,大阪府在住64歳男性。管理職として働く。趣味はゲーム、ショッピング。,シルバー,301349
bb36307e,女,51,営業職,大阪府,独身,読書、カフェ巡り,人間関係,大阪府在住51歳女性。営業職として働く。趣味は読書、カフェ巡り。,シルバー,284390
2c697aae,男,55,教員,福岡県,既婚子あり（1人）,旅行、ショッピング、DIY、アウトドア,副業,福岡県在住55歳男性。教員として働く。趣味は旅行、ショッピング、DIY、アウトドア。,ブロンズ,458278
b5768d47,女,24,学生,東京都,独身,写真、読書、スポーツ,人間関係,東京都在住24歳女性。学生として働く。趣味は写真、読書、スポーツ。,一般,187528
42312670,男,28,学生,愛知県,既婚子あり（1人）,アウトドア、写真、ゲーム、カフェ巡り,副業,愛知県在住28歳男性。学生として働く。趣味はアウトドア、写真、ゲーム、カフェ巡り。,ブロンズ,98729
0c4dfe57,男,69,販売スタッフ,神奈川県,既婚子あり（1人）,読書、カフェ巡り,キャリアアップ,神奈川県在住69歳男性。販売スタッフとして働く。趣味は読書、カフェ巡り。,一般,217158
cc8c7e2e,男,64,パート,北海道,既婚子あり（1人）,ショッピング、写真、スポーツ、アウトドア,副業,北海道在住64歳男性。パートとして働く。趣味はショッピング、写真、スポーツ、アウトドア。,ゴールド,390346
46353282,男,48,教員,愛知県,既婚子なし,音楽、旅行、ガーデニング,スキルアップ,愛知県在住48歳男性。教員として働く。趣味は音楽、旅行、ガーデニング。,ゴールド,461400
5556cbf8,女,28,販売スタッフ,大阪府,独身,DIY、スポーツ、ゲーム、旅行,ワークライフバランス,大阪府在住28歳女性。販売スタッフとして働く。趣味はDIY、スポーツ、ゲーム、旅行。,一般,165009
f2d96c23,男,35,医療従事者,東京都,既婚子あり（2人以上）,音楽、ガーデニング、映画鑑賞,住宅ローン,東京都在住35歳男性。医療従事者として働く。趣味は音楽、ガーデニング、映画鑑賞。,シルバー,164116
ce839043,女,62,主婦,福岡県,既婚子あり（2人以上）,料理、ショッピング,子供の教育,福岡県在住62歳女性。主婦として働く。趣味は料理、ショッピング。,ブロンズ,78908
2b7f7d1e,女,31,管理職,大阪府,既婚子あり（2人以上）,料理、音楽、カフェ巡り,子供の教育,大阪府在住31歳女性。管理職として働く。趣味は料理、音楽、カフェ巡り。,ゴールド,162020
ac87a374,男,65,販売スタッフ,神奈川県,既婚子あり（2人以上）,スポーツ、ショッピング,住宅ローン,神奈川県在住65歳男性。販売スタッフとして働く。趣味はスポーツ、ショッピング。,ゴールド,390632
905fcc4a,男,48,販売スタッフ,東京都,独身,スポーツ、旅行、音楽,副業,東京都在住48歳男性。販売スタッフとして働く。趣味はスポーツ、旅行、音楽。,ゴールド,111399
e083df23,女,30,営業職,埼玉県,既婚子なし,旅行、ショッピング,転職,埼玉県在住30歳女性。営業職として働く。趣味は旅行、ショッピング。,ゴールド,41043
b826e2d9,男,35,学生,神奈川県,既婚子あり（1人）,アウトドア、音楽,スキルアップ,神奈川県在住35歳男性。学生として働く。趣味はアウトドア、音楽。,ゴールド,22987
a5b0dd12,女,33,教員,広島県,既婚子あり（1人）,写真、DIY、映画鑑賞、ショッピング,子供の教育,広島県在住33歳女性。教員として働く。趣味は写真、DIY、映画鑑賞、ショッピング。,シルバー,114888
d7b848ba,女,31,学生,東京都,既婚子あり（2人以上）,ゲーム、DIY,スキルアップ,東京都在住31歳女性。学生として働く。趣味はゲーム、DIY。,一般,387181
49338ef2,女,29,事務職,福岡県,既婚子あり（2人以上）,ゲーム、読書、料理、ショッピング,健康管理,福岡県在住29歳女性。事務職として働く。趣味はゲーム、読書、料理、ショッピング。,シルバー,165842
